Seed,Model,Dataset,Approach,Value,accuracy_10,f1_10,accuracy_50,f1_50,accuracy_100,f1_100,accuracy_250,f1_250,accuracy_500,f1_500,accuracy_750,f1_750,accuracy_1000,f1_1000,accuracy_2500,f1_2500,accuracy_5000,f1_5000,accuracy_7500,f1_7500,accuracy_9000,f1_9000
1,MLP,MNISTbinary,IneurAL (official),4350.0,0.7016,0.70100042445291,0.7215,0.7139812550529859,0.8352,0.8351820162779222,0.8803,0.8802512137478052,0.9317,0.9316868978495615,0.9361,0.9361019649372809,0.9397,0.9396165151866495,0.9641,0.96410117286155,,,,,,
2,MLP,MNISTbinary,IneurAL (official),3515.0,0.492,0.46457715628259527,0.7268,0.7264719962696465,0.8163,0.8156568369399769,0.8543,0.8528767505326476,0.935,0.9349918844889052,0.9377,0.9376962776015051,0.939,0.9389972403413445,0.9634,0.9634005973128602,,,,,,
3,MLP,MNISTbinary,IneurAL (official),4117.0,0.6706,0.6354184071823542,0.7307,0.7164521568217975,0.8481,0.8479649577843693,0.8643,0.863876290821375,0.9296,0.9295762518364823,0.9438,0.9437914198023469,0.941,0.9409992636795287,0.9534,0.9533710401970668,,,,,,
4,MLP,MNISTbinary,IneurAL (official),3994.0,0.5248,0.46823564235434495,0.7614,0.759519137230524,0.8312,0.8306360219516893,0.8813,0.8810557277143063,0.9135,0.9134110504355458,0.9135,0.9134110504355458,0.9392,0.9391998175999928,0.964,0.9640013364998394,,,,,,
5,MLP,MNISTbinary,IneurAL (official),4037.0,0.729,0.727480145512797,0.799,0.7986458011334364,0.8259,0.8256509492884703,0.8648,0.8645001658015496,0.9294,0.9294024995880427,0.9329,0.93290359334762,0.9334,0.9333491480250885,0.9615,0.9614977003699571,,,,,,
6,MLP,MNISTbinary,IneurAL (official),3933.0,0.6975,0.6971559101874842,0.7741,0.7739896274079355,0.6713,0.6360673215026607,0.8532,0.8519914445534916,0.9239,0.9238947908836872,0.9212,0.921158885750995,0.9322,0.9321776503871322,0.9608,0.9608013876924891,,,,,,
7,MLP,MNISTbinary,IneurAL (official),3763.0,0.6527,0.6453704328193475,0.782,0.7818777321878417,0.838,0.8377385921267727,0.9034,0.9033468156259347,0.9228,0.9228010653610654,0.9258,0.9257044829189311,0.9354,0.9353631237848243,0.9588,0.9587636255553018,,,,,,
8,MLP,MNISTbinary,IneurAL (official),4003.0,0.5678,0.5359970878365732,0.6957,0.6775612777371374,0.8383,0.8380273554153728,0.8848,0.8848052716540591,0.9058,0.9056479961626048,0.9348,0.9347764184952699,0.9435,0.9435011271775362,0.9655,0.9655018807123753,,,,,,
9,MLP,MNISTbinary,IneurAL (official),4320.0,0.6964,0.6939562828251015,0.7623,0.7620975535563721,0.7819,0.7817218991270706,0.8671,0.8662480672649977,0.9088,0.9087506830273949,0.9267,0.9266936315228058,0.9393,0.939266256699566,0.9623,0.9623011592822455,,,,,,
10,MLP,MNISTbinary,IneurAL (official),3631.0,0.7116,0.7098665933368588,0.7034,0.68996058890932,0.8276,0.8274305852111281,0.8933,0.893214200858874,0.9156,0.9156046219971006,0.9289,0.9288849944485319,0.9418,0.9417808149340868,0.9654,0.9654018892525733,,,,,,
