,case,dataset,tn_mean,fp_mean,fn_mean,tp_mean,tn_std,fp_std,fn_std,tp_std
0,case1,MNISTbinary,0.470936,0.021664000000000003,0.028224,0.479176,0.009102917334569176,0.009102917334569176,0.017939303888389872,0.017939303888389872
1,case1b,MNISTbinary,0.47748799999999997,0.015111999999999999,0.035500000000000004,0.4719,0.007010011126952657,0.007010011126952652,0.00969197606270259,0.00969197606270259
2,case1,MagicTelescope,0.31057833859095685,0.1940273396424816,0.08437434279705572,0.41101997896950576,0.2412996240604743,0.19273331071336217,0.07634642423078254,0.196033685686347
3,case1b,MagicTelescope,0.29242201191728007,0.2372940764107957,0.06463371889239396,0.4056501927795303,0.2413638001345417,0.1991750773956176,0.05095353081028252,0.17466401092501027
4,case1,adult,0.27551794731813833,0.15151085027978708,0.10223556708066057,0.4707356353214138,0.33006405311124504,0.15273505021650974,0.16248663470217542,0.34575112196302277
5,case1b,adult,0.3309185205404668,0.1382011737409581,0.13119148355397844,0.39968882216459667,0.3435936976791908,0.15844471472064042,0.1698396589160844,0.3434100843491372
