,Model,Dataset,Approach,Value
119,MLP,MNIST binary,Neuronal (tuned),1392.0
120,MLP,MNIST binary,Neuronal (tuned),1343.0
121,MLP,MNIST binary,Neuronal (tuned),1474.0
122,MLP,MNIST binary,Neuronal (tuned),1528.0
123,MLP,MNIST binary,Neuronal (tuned),1437.0
124,MLP,MNIST binary,Margin,5077.0
125,MLP,MNIST binary,Margin,2116.0
126,MLP,MNIST binary,Margin,2552.0
127,MLP,MNIST binary,Margin,2114.0
128,MLP,MNIST binary,Margin,2059.0
129,MLP,MNIST binary,Margin,1998.0
130,MLP,MNIST binary,Margin,5095.0
131,MLP,MNIST binary,Margin,3501.0
132,MLP,MNIST binary,Margin,5182.0
133,MLP,MNIST binary,Margin,5016.0
134,MLP,MNIST binary,Margin,2104.0
135,MLP,MNIST binary,Margin,2037.0
136,MLP,MNIST binary,Margin,1842.0
137,MLP,MNIST binary,Margin,1975.0
138,MLP,MNIST binary,Margin,2252.0
139,MLP,MNIST binary,Margin,2178.0
140,MLP,MNIST binary,Margin,2158.0
141,MLP,MNIST binary,Margin,1923.0
142,MLP,MNIST binary,Margin,4981.0
143,MLP,MNIST binary,Margin,5077.0
144,MLP,MNIST binary,Margin,5062.0
145,MLP,MNIST binary,Margin,5115.0
146,MLP,MNIST binary,Margin,2047.0
147,MLP,MNIST binary,Margin,1921.0
148,MLP,MNIST binary,Margin,5036.0
149,MLP,MNIST binary,Cesa,4718.0
150,MLP,MNIST binary,Cesa,4760.0
151,MLP,MNIST binary,Cesa,5182.0
152,MLP,MNIST binary,Cesa,4682.0
153,MLP,MNIST binary,Cesa,4637.0
154,MLP,MNIST binary,Cesa,3855.0
155,MLP,MNIST binary,Cesa,5084.0
156,MLP,MNIST binary,Cesa,5088.0
157,MLP,MNIST binary,Cesa,5094.0
158,MLP,MNIST binary,Cesa,5122.0
159,MLP,MNIST binary,Cesa,4841.0
160,MLP,MNIST binary,Cesa,5285.0
161,MLP,MNIST binary,Cesa,5054.0
162,MLP,MNIST binary,Cesa,5093.0
163,MLP,MNIST binary,Cesa,4028.0
164,MLP,MNIST binary,Cesa,5102.0
165,MLP,MNIST binary,Cesa,4976.0
166,MLP,MNIST binary,Cesa,5545.0
167,MLP,MNIST binary,Cesa,4759.0
168,MLP,MNIST binary,Cesa,5023.0
169,MLP,MNIST binary,Cesa,4220.0
170,MLP,MNIST binary,Cesa,4980.0
171,MLP,MNIST binary,Cesa,4348.0
172,MLP,MNIST binary,Cesa,5077.0
173,MLP,MNIST binary,Cesa,4783.0
174,MLP,MagicTelescope,Neural-CBP,3082.0
175,MLP,MagicTelescope,Neural-CBP,2887.0
176,MLP,MagicTelescope,Neural-CBP,3512.0
177,MLP,MagicTelescope,Neural-CBP,3796.0
178,MLP,MagicTelescope,Neural-CBP,3532.0
179,MLP,MagicTelescope,Neural-CBP,2722.0
180,MLP,MagicTelescope,Neural-CBP,3074.0
181,MLP,MagicTelescope,Neural-CBP,2869.0
182,MLP,MagicTelescope,Neural-CBP,2844.0
183,MLP,MagicTelescope,Neural-CBP,2695.0
184,MLP,MagicTelescope,Neural-CBP,2732.0
185,MLP,MagicTelescope,Neural-CBP,2976.0
186,MLP,MagicTelescope,Neural-CBP,2642.0
187,MLP,MagicTelescope,Neural-CBP,3560.0
188,MLP,MagicTelescope,Neural-CBP,3044.0
189,MLP,MagicTelescope,Neural-CBP,3306.0
190,MLP,MagicTelescope,Neural-CBP,2716.0
191,MLP,MagicTelescope,Neural-CBP,2800.0
192,MLP,MagicTelescope,Neural-CBP,2556.0
193,MLP,MagicTelescope,Neural-CBP,3312.0
194,MLP,MagicTelescope,Neural-CBP,2893.0
195,MLP,MagicTelescope,Neural-CBP,2926.0
196,MLP,MagicTelescope,Neural-CBP,2748.0
197,MLP,MagicTelescope,Neural-CBP,3089.0
198,MLP,MagicTelescope,Neural-CBP,6477.0
199,MLP,MagicTelescope,IneurAL (official),6605.0
200,MLP,MagicTelescope,IneurAL (official),7263.0
201,MLP,MagicTelescope,IneurAL (official),9127.0
202,MLP,MagicTelescope,IneurAL (official),9200.0
203,MLP,MagicTelescope,IneurAL (official),9158.0
204,MLP,MagicTelescope,IneurAL (official),8945.0
205,MLP,MagicTelescope,IneurAL (official),9225.0
206,MLP,MagicTelescope,IneurAL (official),8891.0
207,MLP,MagicTelescope,IneurAL (official),8450.0
208,MLP,MagicTelescope,IneurAL (official),9146.0
209,MLP,MagicTelescope,IneurAL (official),9333.0
210,MLP,MagicTelescope,IneurAL (official),8957.0
211,MLP,MagicTelescope,IneurAL (official),9043.0
212,MLP,MagicTelescope,IneurAL (official),8927.0
213,MLP,MagicTelescope,IneurAL (official),8932.0
214,MLP,MagicTelescope,IneurAL (official),9016.0
215,MLP,MagicTelescope,IneurAL (official),8916.0
216,MLP,MagicTelescope,IneurAL (official),9120.0
217,MLP,MagicTelescope,IneurAL (official),9206.0
218,MLP,MagicTelescope,IneurAL (official),8986.0
219,MLP,MagicTelescope,IneurAL (official),9003.0
220,MLP,MagicTelescope,IneurAL (official),9089.0
221,MLP,MagicTelescope,IneurAL (official),9016.0
222,MLP,MagicTelescope,IneurAL (official),9027.0
223,MLP,MagicTelescope,IneurAL (official),9326.0
224,MLP,MagicTelescope,IneurAL (tuned),4679.0
