Dataset,Approach,Mean regret,p-value,win count,Mean Exploration,p-value (exploration)
MNIST,Neural-CBP,954.458,1.0,24.0,439.75,1.0
MNIST,Neuronal (official),3575.72,0.0,0.0,1570.8,0.0
MNIST,Neuronal (tuned),7579.08,0.0,0.0,279.6,0.134
Fashion,Neural-CBP,2749.72,1.0,25.0,606.52,1.0
Fashion,Neuronal (official),4417.48,0.0,0.0,3766.52,0.0
Fashion,Neuronal (tuned),7247.292,0.0,0.0,771.0,0.478
CIFAR10,Neural-CBP,6865.92,1.0,25.0,2515.04,1.0
CIFAR10,Neuronal (official),9376.92,0.0,0.0,8545.0,0.0
CIFAR10,Neuronal (tuned),8773.56,0.0,0.0,2295.44,0.735
